"Date Heure, GMT+01:00",Pression différentielle (m),Température (K)
2019-08-29 04:00:00,0.04040280137709882,295.82399999999996
2019-08-29 04:15:00,0.041646289389023664,295.85299999999995
2019-08-29 04:30:00,0.04093316626723524,295.923
2019-08-29 04:45:00,0.039731534124902976,295.953
2019-08-29 05:00:00,0.043482928830526055,295.99699999999996
2019-08-29 05:15:00,0.04339566425868129,296.101
2019-08-29 05:30:00,0.04331856929425401,296.202
2019-08-29 05:45:00,0.04368414250988909,296.322
2019-08-29 06:00:00,0.04196301320688281,296.25899999999996
2019-08-29 06:15:00,0.042466101422569076,296.29699999999997
2019-08-29 06:30:00,0.042921306397628894,296.31
2019-08-29 06:45:00,0.04235941592962718,296.363
2019-08-29 07:00:00,0.04116881288483037,296.46799999999996
2019-08-29 07:15:00,0.03967477632402157,296.628
2019-08-29 07:30:00,0.03835161009097473,296.756
2019-08-29 07:45:00,0.03700799934358757,296.844
2019-08-29 08:00:00,0.03705572053237789,296.945
2019-08-29 08:15:00,0.03543821141268875,296.955
2019-08-29 08:30:00,0.03383076386585942,297.061
2019-08-29 08:45:00,0.035264275775301876,297.27099999999996
2019-08-29 09:00:00,0.03150561882262843,297.457
2019-08-29 09:15:00,0.03231300141197081,297.518
2019-08-29 09:30:00,0.029988340472958955,297.686
2019-08-29 09:45:00,0.03000980789677922,297.873
2019-08-29 10:00:00,0.028122759394049367,297.928
2019-08-29 10:15:00,0.029096223234951146,297.94
2019-08-29 10:30:00,0.02444668528781301,298.039
2019-08-29 10:45:00,0.02531077439581005,298.12699999999995
2019-08-29 11:00:00,0.02533697482726443,298.16299999999995
2019-08-29 11:15:00,0.024844809725845334,298.299
2019-08-29 11:30:00,0.02152365785865945,298.471
2019-08-29 11:45:00,0.019452073340421795,298.661
2019-08-29 12:00:00,0.017274932905753555,298.82
2019-08-29 12:15:00,0.015866547236058924,298.911
2019-08-29 12:30:00,0.016421444175877598,298.91299999999995
2019-08-29 12:45:00,0.016436616193559753,298.87399999999997
2019-08-29 13:00:00,0.015162246024772856,298.83799999999997
2019-08-29 13:15:00,0.015725158718491443,298.787
2019-08-29 13:30:00,0.013888789363382541,298.758
2019-08-29 13:45:00,0.015912169272373516,298.695
2019-08-29 14:00:00,0.016360972174264018,298.58099999999996
2019-08-29 14:15:00,0.01362731838399465,298.48299999999995
2019-08-29 14:30:00,0.014233595328531062,298.40999999999997
2019-08-29 14:45:00,0.015689433468148686,298.30499999999995
2019-08-29 15:00:00,0.014918957671650197,298.217
2019-08-29 15:15:00,0.016334123535464998,298.12399999999997
2019-08-29 15:30:00,0.01592217340913994,298.043
2019-08-29 15:45:00,0.018669330151556102,297.969
2019-08-29 16:00:00,0.01770764754751301,297.919
2019-08-29 16:15:00,0.018315322787428368,297.864
2019-08-29 16:30:00,0.018232415153556104,297.801
2019-08-29 16:45:00,0.017021046225799197,297.72799999999995
2019-08-29 17:00:00,0.0172847209734051,297.64099999999996
2019-08-29 17:15:00,0.01908315994242723,297.54999999999995
2019-08-29 17:30:00,0.016436719441776028,297.46999999999997
2019-08-29 17:45:00,0.018355939678426275,297.394
2019-08-29 18:00:00,0.017148282900112617,297.313
2019-08-29 18:15:00,0.017437459273365038,297.253
2019-08-29 18:30:00,0.015961929442493868,297.205
2019-08-29 18:45:00,0.017212034912939836,297.16299999999995
2019-08-29 19:00:00,0.01858222352896945,297.12699999999995
2019-08-29 19:15:00,0.019021719048612152,297.094
2019-08-29 19:30:00,0.016385230034974618,297.06399999999996
2019-08-29 19:45:00,0.01824823059224135,297.02299999999997
2019-08-29 20:00:00,0.018442826129320185,296.984
2019-08-29 20:15:00,0.01867099374698729,296.942
2019-08-29 20:30:00,0.01921733681140801,296.912
2019-08-29 20:45:00,0.01930885097043068,296.885
2019-08-29 21:00:00,0.019648977261460764,296.856
2019-08-29 21:15:00,0.019998249566665304,296.822
2019-08-29 21:30:00,0.022403611636279103,296.789
2019-08-29 21:45:00,0.02159493673482651,296.756
2019-08-29 22:00:00,0.02290949644272295,296.71799999999996
2019-08-29 22:15:00,0.02410843866132884,296.698
2019-08-29 22:30:00,0.025376566757493304,296.676
2019-08-29 22:45:00,0.024122910505677133,296.65
2019-08-29 23:00:00,0.02643874816666047,296.625
2019-08-29 23:15:00,0.02534380288479626,296.589
2019-08-29 23:30:00,0.02561135183368153,296.563
2019-08-29 23:45:00,0.026923220934088665,296.53499999999997
2019-08-30 00:00:00,0.026467315785695136,296.513
2019-08-30 00:15:00,0.024202211973374278,296.477
2019-08-30 00:30:00,0.024769591007148883,296.45
2019-08-30 00:45:00,0.026575993080318175,296.428
2019-08-30 01:00:00,0.025705609933709333,296.404
2019-08-30 01:15:00,0.02716569902803102,296.376
2019-08-30 01:30:00,0.026466562278845442,296.33599999999996
2019-08-30 01:45:00,0.02582445410069784,296.316
2019-08-30 02:00:00,0.02512709376784206,296.31
2019-08-30 02:15:00,0.026564855948225507,296.30699999999996
2019-08-30 02:30:00,0.026240600480685584,296.306
2019-08-30 02:45:00,0.025837312264315387,296.303
2019-08-30 03:00:00,0.026101849237091572,296.294
2019-08-30 03:15:00,0.026677405392839134,296.28299999999996
