"Date Heure, GMT+01:00",Température 1 (K),Température 2 (K),Température 3 (K),Température 4 (K)
2019-09-04 08:00:00,294.88965873999996,293.12845305999997,291.18877785999996,288.904
2019-09-04 08:15:00,294.89911378,293.12521262999996,291.184763,288.90099999999995
2019-09-04 08:30:00,294.91040088,293.12210971999997,291.18069546,288.89799999999997
2019-09-04 08:45:00,294.92349664,293.11916899,291.17659616,288.89599999999996
2019-09-04 09:00:00,294.93834290999996,293.11641625,291.17248589999997,288.89599999999996
2019-09-04 09:15:00,294.95462175,293.11387836,291.16838659999996,288.89799999999997
2019-09-04 09:30:00,294.97205011999995,293.11158234,291.16432186,288.90099999999995
2019-09-04 09:45:00,294.99030379,293.10955392,291.16031594,288.904
2019-09-04 10:00:00,295.00917236,293.10781605,291.15639373,288.90999999999997
2019-09-04 10:15:00,295.02868615,293.10638815,291.1525804,288.916
2019-09-04 10:30:00,295.04885127,293.10528544,291.14890069,288.923
2019-09-04 10:45:00,295.06980855999996,293.10451859,291.14537835,288.931
2019-09-04 11:00:00,295.0918938,293.1040953,291.14203593999997,288.94
2019-09-04 11:15:00,295.11510674,293.1040217,291.13889430999996,288.94899999999996
2019-09-04 11:30:00,295.13929279999996,293.10430408999997,291.13597224,288.959
2019-09-04 11:45:00,295.16412071999997,293.10494939999995,291.13328681999997,288.96999999999997
2019-09-04 12:00:00,295.18922702,293.10596497,291.13085457,288.983
2019-09-04 12:15:00,295.21425438,293.10735752,291.12869234,288.99699999999996
2019-09-04 12:30:00,295.23896757,293.10913192,291.12681626,289.01
2019-09-04 12:45:00,295.26307032,293.11128951999996,291.12524132,289.025
2019-09-04 13:00:00,295.28632816,293.11382667,291.12398113999996,289.03999999999996
2019-09-04 13:15:00,295.30859195,293.11673455,291.12304739999996,289.05499999999995
2019-09-04 13:30:00,295.32970391,293.11999971999995,291.12245050999996,289.072
2019-09-04 13:45:00,295.34958427,293.12360514,291.12219882,289.087
2019-09-04 14:00:00,295.3681003,293.12753058,291.12229811,289.10299999999995
2019-09-04 14:15:00,295.38525704999995,293.13175335999995,291.12275109999996,289.118
2019-09-04 14:30:00,295.40093758999996,293.13624820999996,291.12355793999996,289.13399999999996
2019-09-04 14:45:00,295.41523336999995,293.14098765,291.12471639999995,289.149
2019-09-04 15:00:00,295.42822947999997,293.14594292,291.12622085,289.162
2019-09-04 15:15:00,295.43997905,293.15108501,291.1280625,289.176
2019-09-04 15:30:00,295.45038108999995,293.15638480999996,291.13023009,289.18899999999996
2019-09-04 15:45:00,295.45938141,293.16181305,291.13271010999995,289.20099999999996
2019-09-04 16:00:00,295.46691318,293.16734049999997,291.13548741,289.21299999999997
2019-09-04 16:15:00,295.47295398,293.17293859,291.13854548999996,289.224
2019-09-04 16:30:00,295.47744289999997,293.17857988,291.14186648,289.234
2019-09-04 16:45:00,295.48031813999995,293.18423815999995,291.14543226,289.245
2019-09-04 17:00:00,295.48155165,293.18988809999996,291.14922329999996,289.25199999999995
2019-09-04 17:15:00,295.48117414999996,293.19550488,291.15321917,289.26099999999997
2019-09-04 17:30:00,295.47922667,293.20106390999996,291.15739836999995,289.267
2019-09-04 17:45:00,295.47576454999995,293.20654062999995,291.16173845,289.27299999999997
2019-09-04 18:00:00,295.4707732,293.21191032999997,291.16621642999996,289.27799999999996
2019-09-04 18:15:00,295.46426993,293.21714804,291.17080906999996,289.282
2019-09-04 18:30:00,295.45637567999995,293.22222933,291.17549235999996,289.284
2019-09-04 18:45:00,295.44715227,293.22713101,291.18024125,289.28499999999997
2019-09-04 19:00:00,295.43661062999996,293.23183116999996,291.18503102,289.287
2019-09-04 19:15:00,295.4248914,293.23630927,291.18983796,289.287
2019-09-04 19:30:00,295.41209297999995,293.24054641,291.19463856,289.28499999999997
2019-09-04 19:45:00,295.39825043999997,293.24452475,291.19940875,289.282
2019-09-04 20:00:00,295.38345512999996,293.24822709,291.20412446,289.279
2019-09-04 20:15:00,295.36789679,293.25163729999997,291.20876239999996,289.275
2019-09-04 20:30:00,295.35165099,293.25474081,291.21330041,289.27
2019-09-04 20:45:00,295.33485224,293.25752516,291.21771719,289.26399999999995
2019-09-04 21:00:00,295.31765638999997,293.25998095,291.22199214,289.25699999999995
2019-09-04 21:15:00,295.30005012,293.26210174,291.22610514999997,289.24899999999997
2019-09-04 21:30:00,295.28199262,293.26388297999995,291.23003767999995,289.24199999999996
2019-09-04 21:45:00,295.26358792999997,293.2653216,291.23377281999996,289.23299999999995
2019-09-04 22:00:00,295.24486569,293.26641572,291.23729538,289.224
2019-09-04 22:15:00,295.22588464999995,293.26716442,291.24059058,289.21299999999997
2019-09-04 22:30:00,295.20676068,293.26756804999997,291.24364456999996,289.203
2019-09-04 22:45:00,295.18758978999995,293.26762877,291.24644479,289.192
2019-09-04 23:00:00,295.1684168,293.26735088,291.24898000999997,289.17999999999995
2019-09-04 23:15:00,295.14922580999996,293.26674045,291.25123993,289.168
2019-09-04 23:30:00,295.12992861,293.26580411,291.25321583,289.15599999999995
2019-09-04 23:45:00,295.11049226,293.26454786,291.25490095,289.144
2019-09-05 00:00:00,295.09092687,293.26297643,291.25629011999996,289.131
2019-09-05 00:15:00,295.07130429999995,293.26109377999995,291.25737935999996,289.118
2019-09-05 00:30:00,295.05166235999997,293.25890389,291.25816577999996,289.10499999999996
2019-09-05 00:45:00,295.03201644,293.25641126,291.25864654,289.09
2019-09-05 01:00:00,295.01237636999997,293.25362119,291.25881882,289.07599999999996
2019-09-05 01:15:00,294.99273438999995,293.25053944999996,291.25867995,289.061
2019-09-05 01:30:00,294.97311367,293.2471721,291.25822882,289.048
2019-09-05 01:45:00,294.95357171999996,293.24352554999996,291.25746582,289.03299999999996
