"Date Heure, GMT+01:00",Débit d'eau échangé (m/s) - pour les meilleurs paramètres,Débit d'eau échangé (m/s) - quantile 0.05,Débit d'eau échangé (m/s) - quantile 0.5,Débit d'eau échangé (m/s) - quantile 0.95
16/03/22 00:00:00,1.5108912521100137e-05,3.040642182483566e-09,5.438874950414174e-07,9.110742394113913e-05
16/03/22 00:15:00,1.7361271602567285e-05,7.371766752584108e-09,6.367455966937996e-07,0.0001045637036440894
16/03/22 00:30:00,1.6132740711327642e-05,1.553763007144937e-09,5.647812031384092e-07,9.753926133271307e-05
16/03/22 00:45:00,1.443467590434011e-05,-5.292267735157452e-10,5.1060089845123e-07,8.717921446077526e-05
16/03/22 01:00:00,1.5660007193218917e-05,4.378841289565116e-09,5.711979724765115e-07,9.433685772819445e-05
16/03/22 01:15:00,1.6565172700211406e-05,4.6848689372325225e-09,5.945928478467977e-07,9.99251424218528e-05
16/03/22 01:30:00,1.403742589900503e-05,-2.6024473687158434e-09,4.858312081523763e-07,8.495162182953209e-05
16/03/22 01:45:00,1.4410047697310802e-05,2.4529391851046967e-09,5.23090420756489e-07,8.681051986059174e-05
16/03/22 02:00:00,1.790533133316785e-05,9.348294582878225e-09,6.654650519521965e-07,0.00010776032286230475
16/03/22 02:15:00,1.4688314877275843e-05,-3.32533645064359e-09,4.965178277416271e-07,8.904004062060267e-05
16/03/22 02:30:00,1.443915425625164e-05,1.903684543336226e-09,5.238397875473311e-07,8.698039164301008e-05
16/03/22 02:45:00,1.729666291794274e-05,7.910200494620767e-09,6.393005378413363e-07,0.00010414869029773399
16/03/22 03:00:00,1.5157209418248385e-05,-6.982521227882899e-10,5.244267526904878e-07,9.174829756375402e-05
16/03/22 03:15:00,1.404190425091656e-05,2.0658699750875087e-10,5.026211624681309e-07,8.471612090943381e-05
16/03/22 03:30:00,1.8187754903919995e-05,1.0496365554502063e-08,6.863349426566856e-07,0.00010934898455161601
16/03/22 03:45:00,1.6342561139026657e-05,6.72136513113486e-10,5.649776539939921e-07,9.893874084809795e-05
16/03/22 04:00:00,1.427059578418266e-05,-1.1170699920626248e-09,5.046277351539175e-07,8.617544517619535e-05
16/03/22 04:15:00,1.6949310520431027e-05,7.329908235931271e-09,6.300184054452984e-07,0.000101984798675403
16/03/22 04:30:00,1.4233492947823834e-05,-3.2799221116874833e-09,4.851310677622678e-07,8.625844930065796e-05
